state,Number of agencies,Total Full Time Employees,"Employees Per 100,000 residents",Total Sworn Personell,"Sworn personnel Per 100,000 residents",numberParticipating,numberEnrolled
U.S. Total,17985,1133915,373,765246,251,5001,7084
Alabama             ,417,18364,393,11631,249,5,7
Alaska              ,50,2107,306,1298,189,16,16
Arizona             ,140,26112,402,14591,224,14,24
Arkansas            ,367,11165,389,6779,236,8,10
California          ,509,126538,346,79431,217,24,36
Colorado            ,246,17989,365,12069,245,160,316
Connecticut         ,143,10530,301,8281,236,10,12
Delaware            ,50,3110,355,2131,243,70,70
District of Columbia,4,5383,912,4262,722,1,1
Florida             ,387,81312,441,46105,250,64,74
Georgia             ,628,38926,401,26551,274,51,65
Hawaii              ,7,4097,318,3234,251,1,1
Idaho               ,117,5290,346,3146,206,122,134
Illinois            ,877,52838,411,41277,321,49,59
Indiana             ,482,19940,312,13171,206,11,16
Iowa                ,392,8896,297,5830,195,13,13
Kansas              ,371,11232,402,7450,266,324,340
Kentucky            ,389,10412,243,7833,183,48,528
Louisiana           ,348,25311,569,18050,405,3,4
Maine               ,146,3901,296,2569,195,132,132
Maryland            ,142,21267,376,16013,283,7,8
Massachusetts       ,357,25361,388,18342,280,240,247
Michigan            ,571,26395,264,19009,190,453,479
Minnesota           ,448,15458,296,9667,185,353,457
Mississippi         ,342,12408,422,7707,262,4,8
Missouri            ,576,22484,377,14554,244,17,22
Montana             ,119,3229,334,1950,201,137,137
Nebraska            ,225,5227,293,3765,211,109,330
Nevada              ,76,10097,386,6643,254,8,10
New Hampshire       ,208,3940,298,2936,222,8,11
New Jersey          ,550,43569,503,33704,389,546,616
New Mexico          ,146,7164,361,5010,252,139,139
New York            ,514,95105,489,66472,341,4,10
North Carolina      ,504,35140,380,23442,254,23,30
North Dakota        ,114,1859,290,1324,206,131,131
Ohio                ,831,37295,324,25992,225,160,185
Oklahoma            ,481,13151,361,8639,237,461,461
Oregon              ,174,9431,249,6695,177,74,109
Pennsylvania        ,1117,33670,268,27413,218,11,15
Rhode Island        ,48,3462,329,2828,268,28,31
South Carolina      ,272,16111,358,11674,259,55,272
South Dakota        ,155,2669,332,1636,203,135,135
Tennessee           ,375,25697,412,15976,256,296,480
Texas               ,1913,96116,395,59219,244,37,75
Utah                ,136,8237,302,4782,175,13,142
Vermont             ,69,1612,260,1103,178,3,3
Virginia            ,340,29155,374,22848,293,235,455
Washington          ,260,17602,268,11411,174,38,41
West Virginia       ,233,4411,243,3382,186,2,6
Wisconsin           ,529,20150,358,13730,244,143,174
Wyoming             ,90,2990,561,1691,317,5,7